z6-16001,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 867,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
8/27/2024 11:45,0,0,449,597.3,0.000,0,0,74,2.94,7.27,20.9,1.002,86.13,2.3,-0.2,0.0,24.0,0.0,0.0,100,8193,85.99,25.8
8/27/2024 12:00,0,0,449,576.9,0.000,0,0,60,1.67,4.84,21.3,0.987,86.12,2.3,-0.1,0.0,24.0,0.0,0.0,100,8200,85.99,25.5
8/27/2024 12:15,0,0,447,586.0,0.000,0,0,52,1.40,3.87,21.8,0.995,86.12,2.3,-0.2,0.0,24.5,0.0,0.0,100,8206,85.98,25.9
8/27/2024 12:30,0,0,449,351.7,0.000,0,0,37,1.78,5.39,21.1,0.997,86.10,2.4,-0.1,0.0,24.5,0.0,0.0,100,8206,85.96,25.7
8/27/2024 12:45,0,0,447,537.0,0.000,0,0,42,2.10,4.98,21.4,0.987,86.08,2.3,-0.1,0.0,23.9,0.0,0.0,100,8218,85.94,25.0
8/27/2024 13:00,0,0,449,394.4,0.000,0,0,63,2.00,6.01,21.3,0.991,86.06,2.4,-0.1,0.0,24.1,0.0,0.0,100,8216,85.92,25.2
8/27/2024 13:15,0,0,448,425.1,0.000,0,0,55,1.83,4.59,21.3,0.995,86.06,2.4,-0.1,0.0,23.8,0.0,0.0,100,8222,85.92,24.9
8/27/2024 13:30,0,0,449,312.0,0.000,0,0,18,1.81,4.46,21.1,0.994,86.04,2.3,0.0,0.0,23.9,0.0,0.0,100,8221,85.90,24.9
8/27/2024 13:45,0,0,449,534.9,0.000,0,0,28,1.62,3.53,21.7,0.982,86.03,2.4,-0.1,0.0,24.1,0.0,0.0,100,8228,85.89,25.1
8/27/2024 14:00,9,0,450,236.9,0.000,0,0,357,2.12,4.34,20.7,1.002,86.03,2.3,-0.1,0.0,23.7,0.0,0.0,100,8225,85.88,24.7
8/27/2024 14:15,15,0,453,153.9,0.000,0,0,359,2.00,3.78,20.3,1.001,86.04,2.3,-0.1,0.0,22.7,0.0,0.0,100,8218,85.89,23.8
8/27/2024 14:30,15,1,451,153.0,0.000,0,0,357,1.43,3.65,20.4,1.005,86.03,2.2,-0.1,0.0,21.9,0.0,0.0,100,8216,85.88,22.9
8/27/2024 14:45,15,6,451,253.1,0.000,0,0,47,1.60,4.00,20.5,1.001,86.01,2.3,-0.1,0.0,22.0,0.0,0.0,100,8214,85.86,22.9
8/27/2024 15:00,15,0,450,262.6,0.000,0,0,47,2.08,4.32,20.5,0.998,85.99,2.3,-0.1,0.0,22.1,0.0,0.0,100,8219,85.85,22.9
8/27/2024 15:15,15,0,450,249.1,0.000,0,0,57,1.72,4.04,20.8,0.996,85.98,2.3,0.0,0.0,22.3,0.0,0.0,100,8219,85.84,23.1
8/27/2024 15:30,8,0,451,283.6,0.000,0,0,37,1.79,4.95,20.9,0.997,85.96,2.3,-0.2,0.0,22.7,0.0,0.0,100,8222,85.82,23.4
8/27/2024 15:45,9,0,449,356.3,0.000,0,0,61,1.86,3.91,21.0,0.997,85.97,2.3,-0.2,0.0,22.7,0.0,0.0,100,8230,85.83,23.4
8/27/2024 16:00,8,0,450,358.1,0.000,0,0,48,2.35,5.87,21.1,0.999,85.96,2.4,-0.2,0.0,23.2,0.0,0.0,100,8236,85.82,24.0
8/27/2024 16:15,4,0,450,324.5,0.000,0,0,44,2.11,5.21,21.3,1.000,85.98,2.3,-0.2,0.0,23.4,0.0,0.0,100,8243,85.84,24.3
8/27/2024 16:30,15,0,452,150.5,0.000,0,0,52,2.35,5.44,20.8,1.001,85.99,2.3,-0.1,0.0,22.8,0.0,0.0,100,8234,85.85,23.8
8/27/2024 16:45,15,0,453,157.9,0.000,0,0,34,2.07,4.60,20.6,1.002,86.00,2.2,-0.1,0.0,22.1,0.0,0.0,100,8230,85.86,23.1
8/27/2024 17:00,15,0,454,112.0,0.000,0,0,58,2.01,4.30,20.3,1.003,86.01,2.3,-0.1,0.0,21.6,0.0,0.0,100,8225,85.86,22.5
8/27/2024 17:15,15,0,456,44.3,0.000,4,16,58,1.85,3.63,20.1,1.000,86.04,2.2,-0.1,0.0,21.0,0.0,0.0,100,8219,85.90,21.9
8/27/2024 17:30,15,0,456,30.4,0.000,2,19,56,1.74,4.17,19.9,1.001,86.05,2.3,-0.1,0.0,20.4,0.0,0.0,100,8213,85.91,21.3
8/27/2024 17:45,15,0,457,11.3,0.000,0,0,39,1.78,4.44,19.7,1.000,86.06,2.2,-0.1,0.0,20.1,0.0,0.0,100,8210,85.91,20.8
8/27/2024 18:00,15,14,642,0.1,0.000,0,0,17,2.68,5.90,19.0,1.002,86.08,2.2,-0.1,0.0,19.6,0.0,0.0,100,8207,85.94,20.3
8/27/2024 18:15,15,15,695,0.0,0.221,2,24,32,2.26,5.50,18.5,0.999,86.09,2.2,-0.1,3.1,19.0,0.0,0.0,100,8200,85.94,19.6
8/27/2024 18:30,15,15,569,0.0,0.085,3,21,77,2.86,6.43,18.3,1.001,86.09,2.3,-0.1,1.0,18.6,0.0,0.0,100,8197,85.95,19.2
8/27/2024 18:45,15,15,506,0.0,0.000,1,20,81,2.68,7.94,18.2,0.998,86.08,2.1,-0.1,0.0,18.3,0.2,12.0,100,8194,85.94,18.8
8/27/2024 19:00,15,10,457,0.0,0.000,0,0,73,2.93,7.52,18.6,0.976,86.09,2.1,-0.1,0.0,18.1,0.0,0.0,100,8191,85.95,18.5
8/27/2024 19:15,15,0,457,0.0,0.000,0,0,87,2.87,6.32,18.6,0.973,86.10,2.2,-0.1,0.0,18.0,0.0,0.0,100,8189,85.96,18.5
8/27/2024 19:30,15,0,459,0.0,0.000,0,0,83,2.43,5.39,18.6,0.975,86.12,2.2,-0.1,0.0,18.0,0.0,0.0,100,8187,85.99,18.4
8/27/2024 19:45,15,7,460,0.0,0.000,0,0,77,2.69,5.09,18.6,0.979,86.14,2.1,-0.1,0.0,18.1,0.0,0.0,100,8183,86.00,18.5
8/27/2024 20:00,15,15,584,0.0,0.119,0,0,63,2.55,5.33,18.6,0.988,86.16,2.2,-0.1,2.0,18.3,0.0,0.0,100,8181,86.03,18.6
8/27/2024 20:15,15,15,569,0.0,0.000,0,0,70,2.70,5.41,18.6,0.997,86.17,2.2,-0.1,0.0,18.4,0.0,0.0,100,8181,86.03,18.7
8/27/2024 20:30,15,15,559,0.0,0.119,0,0,74,3.57,8.44,18.7,1.000,86.17,2.2,0.0,2.0,18.5,0.2,12.0,100,8175,86.04,18.8
8/27/2024 20:45,15,15,551,0.0,0.000,0,0,65,3.09,6.62,18.6,0.999,86.19,2.2,0.1,0.0,18.6,0.0,0.0,100,8176,86.05,18.8
8/27/2024 21:00,15,15,560,0.0,0.000,0,0,68,3.29,6.80,18.6,1.001,86.19,2.2,-0.1,0.0,18.6,0.0,0.0,100,8172,86.05,18.8
8/27/2024 21:15,15,15,529,0.0,0.000,0,0,77,3.43,6.73,18.4,1.000,86.19,2.2,-0.1,0.0,18.5,0.0,0.0,100,8172,86.05,18.7
8/27/2024 21:30,15,15,524,0.0,0.000,0,0,82,3.71,6.69,18.5,0.998,86.18,2.2,-0.1,0.0,18.3,0.0,0.0,100,8168,86.04,18.5
8/27/2024 21:45,15,15,510,0.0,0.017,0,0,94,3.06,6.58,18.3,0.997,86.18,2.2,0.0,1.0,18.1,0.0,0.0,100,8166,86.05,18.3
8/27/2024 22:00,15,15,488,0.0,0.000,0,0,81,3.10,6.43,18.1,0.991,86.17,2.3,-0.1,0.0,17.8,0.0,0.0,100,8162,86.03,18.1
8/27/2024 22:15,15,15,470,0.0,0.000,0,0,91,3.58,7.77,18.0,0.987,86.17,2.2,0.0,0.0,17.6,0.0,0.0,100,8161,86.04,17.9
8/27/2024 22:30,15,15,474,0.0,0.017,0,0,82,3.03,6.23,17.9,0.986,86.18,2.1,0.0,1.0,17.5,0.0,0.0,100,8159,86.05,17.8
8/27/2024 22:45,15,15,471,0.0,0.000,0,0,77,3.56,6.88,17.8,0.990,86.19,2.2,-0.2,0.0,17.5,0.0,0.0,100,8159,86.05,17.7
8/27/2024 23:00,15,15,469,0.0,0.017,0,0,85,3.55,7.90,17.7,0.990,86.17,2.0,-0.1,1.0,17.3,0.0,0.0,100,8155,86.04,17.6
8/27/2024 23:15,15,15,463,0.0,0.000,0,0,91,3.90,8.38,17.7,0.982,86.16,2.1,-0.1,0.0,17.2,0.0,0.0,100,8153,86.02,17.5
8/27/2024 23:30,15,8,458,0.0,0.000,0,0,90,4.22,8.04,17.7,0.977,86.14,2.2,0.0,0.0,17.1,0.0,0.0,100,8154,86.01,17.4
8/27/2024 23:45,15,0,457,0.0,0.000,0,0,95,4.44,8.76,17.7,0.972,86.12,2.1,0.1,0.0,17.1,0.0,0.0,100,8150,85.98,17.4
8/28/2024 0:00,15,0,455,0.0,0.000,0,0,106,5.19,9.71,17.9,0.958,86.10,2.1,0.0,0.0,17.0,0.0,0.0,100,8147,85.96,17.4
8/28/2024 0:15,15,0,456,0.0,0.000,0,0,109,5.06,10.26,17.8,0.964,86.08,1.8,0.0,0.0,17.1,0.2,12.0,100,8123,85.95,17.6
8/28/2024 0:15,1,0,457,0.0,0.000,0,0,106,7.63,7.63,17.8,0.300,86.07,0.0,0.0,0.0,17.2,0.0,0.0,100,8124,85.94,17.7
8/28/2024 0:30,15,4,460,0.0,0.000,0,0,104,5.23,11.08,17.6,0.981,86.08,2.0,0.1,0.0,17.1,0.0,0.0,100,8131,85.94,17.5
8/28/2024 0:45,15,13,461,0.0,0.000,0,0,110,5.85,10.73,17.5,0.982,86.07,1.8,0.1,0.0,17.1,0.0,0.0,100,8131,85.94,17.4
8/28/2024 1:00,15,1,459,0.0,0.000,0,0,103,5.37,10.09,17.7,0.979,86.07,1.9,-0.1,0.0,17.2,0.0,0.0,100,8127,85.94,17.4
8/28/2024 1:15,15,0,456,0.0,0.000,0,0,108,4.50,7.57,17.9,0.975,86.06,2.5,-0.1,0.0,17.3,0.0,0.0,100,8130,85.92,17.4
8/28/2024 1:30,15,0,455,0.0,0.000,0,0,101,5.48,11.50,18.2,0.966,86.02,2.3,-0.1,0.0,17.5,0.0,0.0,100,8127,85.89,17.6
8/28/2024 1:45,15,0,455,0.0,0.000,0,0,109,5.53,9.91,18.2,0.965,86.02,2.3,-0.5,0.0,17.7,0.0,0.0,100,8124,85.89,17.6
8/28/2024 2:00,15,0,455,0.0,0.000,0,0,107,6.07,12.69,18.2,0.956,86.00,2.4,-0.1,0.0,17.8,0.0,0.0,100,8124,85.87,17.7
8/28/2024 2:15,15,0,455,0.0,0.000,0,0,110,6.34,10.60,17.9,0.971,85.99,2.6,-0.5,0.0,17.7,0.0,0.0,100,8122,85.86,17.7
8/28/2024 2:30,15,0,455,0.0,0.000,0,0,106,6.32,10.50,18.0,0.962,85.98,2.0,0.0,0.0,17.7,0.0,0.0,100,8122,85.85,17.7
8/28/2024 2:45,15,0,455,0.0,0.000,0,0,107,5.78,8.53,18.1,0.964,85.98,2.0,0.0,0.0,17.7,0.0,0.0,100,8121,85.85,17.7
8/28/2024 3:00,15,0,455,0.0,0.000,0,0,106,5.40,10.29,18.0,0.968,85.98,2.1,0.1,0.0,17.7,0.0,0.0,100,8123,85.85,17.6
8/28/2024 3:15,15,0,455,0.0,0.000,0,0,108,5.38,8.88,18.0,0.970,85.97,2.4,-0.1,0.0,17.6,0.0,0.0,100,8116,85.83,17.6
8/28/2024 3:30,15,0,455,0.0,0.000,0,0,105,4.93,7.65,18.1,0.958,85.97,2.4,-0.2,0.0,17.7,0.0,0.0,100,8115,85.83,17.6
8/28/2024 3:45,15,0,455,0.0,0.000,0,0,106,5.53,9.85,18.0,0.962,85.97,2.3,-0.1,0.0,17.7,0.0,0.0,100,8114,85.83,17.6
8/28/2024 4:00,15,0,455,0.0,0.000,0,0,106,5.29,10.43,18.1,0.959,85.98,2.3,0.0,0.0,17.7,0.0,0.0,100,8113,85.85,17.6
8/28/2024 4:15,15,0,455,0.0,0.000,0,0,101,5.18,9.72,18.0,0.963,85.99,2.2,0.1,0.0,17.7,0.0,0.0,100,8112,85.85,17.6
8/28/2024 4:30,15,0,455,0.0,0.000,0,0,108,5.24,9.79,18.0,0.961,85.99,1.8,-0.1,0.0,17.7,0.0,0.0,100,8112,85.85,17.6
8/28/2024 4:45,15,0,455,0.0,0.000,0,0,108,6.27,11.17,18.2,0.949,85.99,2.2,0.4,0.0,17.7,0.0,0.0,100,8111,85.85,17.7
8/28/2024 5:00,15,0,455,0.0,0.000,0,0,106,4.54,9.25,18.0,0.957,86.01,2.2,0.0,0.0,17.8,0.0,0.0,100,8108,85.87,17.7
8/28/2024 5:15,15,0,455,0.0,0.000,0,0,100,3.79,7.63,17.9,0.961,86.03,2.1,0.0,0.0,17.7,0.0,0.0,100,8107,85.89,17.6
8/28/2024 5:30,15,0,457,1.3,0.000,0,0,104,4.03,8.61,17.9,0.972,86.04,2.0,0.1,0.0,17.6,0.0,0.0,100,8107,85.90,17.5
8/28/2024 5:45,15,0,456,9.9,0.000,0,0,111,4.15,8.31,17.7,0.985,86.06,2.3,-0.1,0.0,17.5,0.0,0.0,100,8105,85.92,17.4
8/28/2024 6:00,15,0,454,52.1,0.000,0,0,108,4.43,8.90,18.2,0.974,86.06,2.2,0.0,0.0,18.0,0.0,0.0,100,8103,85.93,18.0
8/28/2024 6:15,15,0,454,94.0,0.000,0,0,109,4.54,9.20,18.5,0.983,86.08,2.2,-0.2,0.0,19.0,0.0,0.0,100,8104,85.96,19.0
8/28/2024 6:30,15,0,453,139.0,0.000,0,0,102,4.59,9.53,18.7,0.983,86.11,2.0,0.0,0.0,19.8,0.0,0.0,100,8102,85.99,19.7
8/28/2024 6:45,15,0,453,186.7,0.000,0,0,90,3.62,7.76,19.0,0.985,86.13,2.1,-0.1,0.0,20.7,0.0,0.0,100,8099,86.01,20.5
8/28/2024 7:00,15,0,452,239.9,0.000,0,0,85,3.05,5.26,19.3,0.987,86.13,2.3,-0.1,0.0,21.4,0.0,0.0,100,8101,86.01,21.2
8/28/2024 7:15,15,0,452,293.3,0.000,0,0,71,2.96,5.55,19.6,0.986,86.13,2.3,-0.1,0.0,22.2,0.0,0.0,100,8102,86.00,21.8
8/28/2024 7:30,15,0,451,347.8,0.000,0,0,64,2.54,7.12,20.0,0.979,86.13,2.3,0.0,0.0,22.9,0.0,0.0,100,8098,86.00,22.5
8/28/2024 7:45,15,0,451,402.8,0.000,0,0,63,2.82,6.51,20.4,0.967,86.13,2.3,0.0,0.0,23.5,0.0,0.0,100,8097,86.00,23.1
8/28/2024 8:00,15,0,451,456.4,0.000,0,0,76,2.94,7.81,20.7,0.957,86.13,2.3,0.0,0.0,23.9,0.0,0.0,100,8096,86.00,23.4
8/28/2024 8:15,14,0,450,507.9,0.000,0,0,93,3.10,7.72,20.8,0.956,86.14,2.4,-0.1,0.0,23.9,0.0,0.0,100,8094,86.01,23.7
8/28/2024 8:30,13,0,450,561.0,0.000,0,0,77,3.33,6.44,20.8,0.981,86.15,2.3,0.0,0.0,24.1,0.0,0.0,100,8093,86.02,24.0
8/28/2024 8:45,15,0,450,599.9,0.000,0,0,74,3.15,6.51,20.9,0.977,86.16,2.2,0.0,0.0,24.1,0.0,0.0,100,8089,86.03,24.0
8/28/2024 9:00,11,0,449,649.7,0.000,0,0,81,3.48,7.65,21.2,0.968,86.16,2.3,-0.1,0.0,24.2,0.0,0.0,100,8087,86.03,24.1
8/28/2024 9:15,9,0,450,689.2,0.000,0,0,76,3.65,9.16,21.3,0.962,86.17,2.2,0.0,0.0,24.3,0.0,0.0,100,8087,86.03,24.1
8/28/2024 9:30,0,0,449,727.1,0.000,0,0,80,3.26,7.39,21.6,0.949,86.19,2.4,-0.1,0.0,24.4,0.0,0.0,100,8086,86.05,24.3
8/28/2024 9:45,0,0,449,762.7,0.000,0,0,74,2.91,7.88,21.7,0.946,86.21,2.4,-0.1,0.0,24.5,0.0,0.0,100,8089,86.07,24.5
8/28/2024 10:00,0,0,448,789.9,0.000,0,0,97,3.10,6.96,21.9,0.943,86.19,2.4,-0.3,0.0,24.7,0.0,0.0,100,8091,86.06,24.8
8/28/2024 10:15,0,0,448,825.7,0.000,0,0,84,3.31,7.19,22.1,0.922,86.20,2.3,-0.1,0.0,24.7,0.0,0.0,100,8094,86.06,24.8
8/28/2024 10:30,0,0,449,851.4,0.000,0,0,76,2.97,7.14,22.1,0.912,86.21,2.3,-0.1,0.0,24.7,0.0,0.0,100,8096,86.07,24.8
8/28/2024 10:45,0,0,447,890.5,0.000,0,0,52,2.65,6.31,22.4,0.917,86.21,2.3,-0.1,0.0,24.9,0.0,0.0,100,8104,86.07,25.1
8/28/2024 11:00,0,0,448,772.4,0.000,0,0,79,3.14,7.70,22.1,0.951,86.21,2.3,-0.1,0.0,24.9,0.0,0.0,100,8110,86.07,25.1
8/28/2024 11:15,0,0,448,850.3,0.000,0,0,97,3.74,8.06,21.9,0.941,86.20,2.4,-0.2,0.0,24.4,0.0,0.0,100,8115,86.06,24.8
8/28/2024 11:30,0,0,449,526.8,0.000,0,0,82,3.65,7.62,21.1,0.971,86.19,2.3,-0.1,0.0,23.8,0.0,0.0,100,8122,86.05,24.4
8/28/2024 11:45,2,0,449,451.0,0.000,0,0,83,2.52,7.56,21.1,0.979,86.18,2.3,0.0,0.0,23.3,0.0,0.0,100,8130,86.03,24.0
8/28/2024 12:00,2,0,449,536.3,0.000,0,0,70,2.96,7.71,21.2,0.988,86.16,2.2,-0.1,0.0,23.4,0.0,0.0,100,8139,86.02,24.1
8/28/2024 12:15,4,0,450,433.6,0.000,0,0,65,3.01,5.90,20.8,0.991,86.13,2.3,0.0,0.0,23.3,0.0,0.0,100,8144,85.98,24.1
8/28/2024 12:30,3,0,449,545.7,0.000,0,0,47,2.68,6.28,21.4,0.982,86.10,2.3,-0.1,0.0,23.3,0.0,0.0,100,8158,85.96,24.0
8/28/2024 12:45,1,0,450,546.5,0.000,0,0,42,2.19,5.73,21.6,0.986,86.08,2.3,0.0,0.0,24.0,0.0,0.0,100,8168,85.93,24.6
8/28/2024 13:00,8,0,450,453.9,0.000,0,0,65,2.24,5.77,21.0,0.998,86.06,2.3,-0.1,0.0,23.7,0.0,0.0,100,8172,85.92,24.4
8/28/2024 13:15,1,0,449,586.2,0.000,0,0,54,2.65,6.41,21.2,0.999,86.04,2.4,-0.1,0.0,23.7,0.0,0.0,100,8191,85.90,24.6
8/28/2024 13:30,1,0,450,464.2,0.000,0,0,59,2.50,8.02,21.3,0.998,86.02,2.3,0.0,0.0,23.7,0.0,0.0,100,8191,85.88,24.7
8/28/2024 13:45,15,0,451,211.5,0.000,0,0,58,2.75,5.80,20.7,0.997,86.01,2.3,0.0,0.0,22.9,0.0,0.0,100,8190,85.87,24.0
8/28/2024 14:00,15,0,450,250.7,0.000,0,0,79,2.33,5.52,20.7,0.993,85.99,2.3,0.0,0.0,22.5,0.0,0.0,100,8190,85.85,23.5
8/28/2024 14:15,13,0,450,244.3,0.000,0,0,93,1.26,3.41,20.9,0.994,85.97,2.3,-0.1,0.0,22.5,0.0,0.0,100,8191,85.83,23.4
8/28/2024 14:30,15,0,451,196.9,0.000,0,0,70,2.46,5.92,20.7,0.995,85.97,2.3,-0.1,0.0,22.4,0.0,0.0,100,8186,85.82,23.2
8/28/2024 14:45,15,0,451,224.7,0.000,0,0,64,2.04,3.77,20.7,0.992,85.95,2.3,-0.1,0.0,22.1,0.0,0.0,100,8187,85.81,22.8
8/28/2024 15:00,15,0,451,206.3,0.000,0,0,72,1.74,4.73,20.8,0.999,85.94,2.3,-0.1,0.0,22.1,0.0,0.0,100,8187,85.80,22.8
8/28/2024 15:15,15,0,451,225.3,0.000,0,0,66,2.12,4.26,20.8,0.999,85.93,2.3,-0.1,0.0,22.1,0.0,0.0,100,8193,85.79,22.8
8/28/2024 15:30,14,0,452,272.3,0.000,0,0,56,2.95,6.40,20.9,0.998,85.91,2.3,-0.1,0.0,22.4,0.0,0.0,100,8195,85.77,23.1
8/28/2024 15:45,15,0,453,164.7,0.000,0,0,51,2.85,7.31,20.8,0.999,85.90,2.3,-0.1,0.0,22.0,0.0,0.0,100,8188,85.76,22.7
8/28/2024 16:00,15,0,453,122.1,0.000,0,0,59,3.41,8.64,20.6,0.999,85.90,2.4,0.0,0.0,21.6,0.0,0.0,100,8187,85.77,22.2
8/28/2024 16:15,15,0,455,76.3,0.000,0,0,59,3.12,8.99,20.4,0.998,85.92,2.3,0.0,0.0,21.2,0.0,0.0,100,8182,85.77,21.8
8/28/2024 16:30,15,0,456,82.9,0.000,0,0,64,3.39,8.32,20.2,1.002,85.93,2.2,0.0,0.0,20.9,0.0,0.0,100,8178,85.79,21.5
8/28/2024 16:45,15,0,456,63.5,0.000,0,0,59,4.03,10.00,20.1,1.000,85.93,2.2,-0.1,0.0,20.5,0.0,0.0,100,8175,85.79,21.1
8/28/2024 17:00,15,0,457,44.0,0.000,0,0,58,3.89,8.88,20.0,0.999,85.93,2.4,-0.1,0.0,20.4,0.0,0.0,100,8170,85.79,20.9
8/28/2024 17:15,15,1,459,31.2,0.000,0,0,71,3.97,9.39,19.9,1.001,85.93,2.1,0.0,0.0,20.2,0.0,0.0,100,8169,85.79,20.6
8/28/2024 17:30,15,13,463,7.1,0.000,0,0,76,4.53,9.11,19.7,1.001,85.93,2.2,0.0,0.0,19.9,0.0,0.0,100,8165,85.79,20.4
8/28/2024 17:45,15,15,464,4.9,0.000,0,0,78,4.86,9.87,19.7,0.999,85.93,2.3,0.1,0.0,19.8,0.0,0.0,100,8162,85.80,20.2
8/28/2024 18:00,15,15,465,1.3,0.000,0,0,72,4.97,11.45,19.6,1.001,85.95,2.3,0.0,0.0,19.7,0.0,0.0,100,8156,85.81,20.1
8/28/2024 18:15,15,11,464,0.0,0.000,0,0,75,5.84,10.31,19.6,1.000,85.97,2.3,0.0,0.0,19.6,0.0,0.0,100,8159,85.83,20.0
8/28/2024 18:30,15,15,464,0.0,0.000,0,0,76,4.76,10.23,19.5,1.001,85.98,2.4,-0.1,0.0,19.6,0.0,0.0,100,8154,85.84,19.9
8/28/2024 18:45,15,15,465,0.0,0.000,0,0,75,5.97,11.70,19.3,1.002,85.98,2.6,-0.1,0.0,19.5,0.0,0.0,100,8152,85.84,19.8
8/28/2024 19:00,15,15,465,0.0,0.000,0,0,70,5.63,11.24,19.2,1.000,85.97,2.1,0.3,0.0,19.3,0.0,0.0,100,8146,85.83,19.7
8/28/2024 19:15,15,11,458,0.0,0.000,0,0,79,5.87,11.27,19.4,0.997,85.98,2.2,0.3,0.0,19.3,0.0,0.0,100,8145,85.84,19.6
8/28/2024 19:30,15,0,459,0.0,0.000,0,0,80,5.49,13.66,19.5,0.996,85.99,2.1,-0.4,0.0,19.3,0.0,0.0,100,8143,85.85,19.6
8/28/2024 19:45,15,0,458,0.0,0.000,0,0,94,5.20,10.40,19.5,0.997,85.99,2.4,-0.2,0.0,19.3,0.0,0.0,100,8141,85.86,19.5
8/28/2024 20:00,15,0,456,0.0,0.000,0,0,90,5.81,11.65,19.5,0.996,86.01,2.1,-0.1,0.0,19.3,0.0,0.0,100,8140,85.87,19.5
8/28/2024 20:15,15,0,455,0.0,0.000,0,0,96,6.87,15.60,19.5,0.997,86.01,1.8,0.5,0.0,19.4,0.0,0.0,100,8138,85.88,19.5
8/28/2024 20:30,15,0,456,0.0,0.000,0,0,85,6.18,15.04,19.4,0.999,86.02,2.2,0.5,0.0,19.3,0.0,0.0,100,8135,85.89,19.5
8/28/2024 20:45,15,0,457,0.0,0.000,0,0,85,6.78,16.62,19.3,0.999,86.03,1.9,-0.2,0.0,19.2,0.0,0.0,100,8135,85.90,19.4
8/28/2024 21:00,15,0,457,0.0,0.000,0,0,85,6.37,12.66,19.2,0.999,86.03,2.2,-0.1,0.0,19.2,0.0,0.0,100,8132,85.89,19.3
8/28/2024 21:15,15,3,459,0.0,0.000,0,0,78,6.57,13.93,19.0,1.000,86.05,2.7,-0.1,0.0,19.0,0.0,0.0,100,8132,85.91,19.2
8/28/2024 21:30,15,7,462,0.0,0.000,0,0,78,7.14,13.53,18.9,1.001,86.06,2.4,0.5,0.0,18.9,0.0,0.0,100,8129,85.93,19.1
8/28/2024 21:45,15,7,462,0.0,0.000,0,0,76,6.78,14.28,18.9,1.000,86.06,2.0,-0.1,0.0,18.8,0.0,0.0,100,8125,85.93,19.0
8/28/2024 22:00,15,9,536,0.0,0.000,0,0,85,7.07,15.52,19.0,0.993,86.04,1.5,-0.1,0.0,18.7,0.0,0.0,100,8125,85.91,18.8
8/28/2024 22:15,15,13,461,0.0,0.000,0,0,92,6.80,13.99,19.0,0.985,86.05,2.8,0.1,0.0,18.6,0.0,0.0,100,8125,85.91,18.7
8/28/2024 22:30,15,14,456,0.0,0.000,0,0,84,6.28,13.59,18.9,0.991,86.04,2.5,0.3,0.0,18.6,0.0,0.0,100,8124,85.91,18.6
8/28/2024 22:45,15,0,458,0.0,0.000,0,0,86,6.69,12.24,18.9,0.987,86.04,2.1,0.0,0.0,18.5,0.0,0.0,100,8119,85.90,18.6
8/28/2024 23:00,15,0,458,0.0,0.000,0,0,96,6.65,13.71,19.0,0.985,86.04,1.6,-0.2,0.0,18.6,0.0,0.0,100,8117,85.91,18.6
8/28/2024 23:15,15,0,456,0.0,0.000,0,0,83,7.17,14.45,18.9,0.993,86.04,2.1,0.0,0.0,18.6,0.0,0.0,100,8116,85.90,18.6
8/28/2024 23:30,15,6,472,0.0,0.000,0,0,81,5.80,12.67,18.8,0.995,86.04,2.4,-0.1,0.0,18.5,0.0,0.0,100,8115,85.90,18.7
8/28/2024 23:45,15,15,535,0.0,0.000,0,0,75,6.78,16.36,18.5,0.999,86.03,2.3,0.1,0.0,18.4,0.0,0.0,100,8112,85.90,18.6
8/29/2024 0:00,15,15,473,0.0,0.000,0,0,73,6.88,13.19,18.5,0.994,86.03,2.2,-0.1,0.0,18.3,0.0,0.0,100,8112,85.89,18.6
8/29/2024 0:15,15,10,460,0.0,0.000,0,0,70,6.94,11.71,18.5,0.990,86.01,1.9,0.5,0.0,18.2,0.0,0.0,100,8102,85.88,18.6
8/29/2024 0:30,15,3,460,0.0,0.000,0,0,84,6.77,14.97,18.5,0.964,86.00,1.6,0.0,0.0,18.1,0.0,0.0,100,8100,85.88,18.5
8/29/2024 0:45,15,10,459,0.0,0.000,0,0,87,5.57,12.66,18.4,0.988,86.01,2.0,0.0,0.0,18.1,0.0,0.0,100,8098,85.87,18.4
8/29/2024 1:00,15,5,460,0.0,0.000,0,0,85,5.29,10.33,18.4,0.986,86.00,2.3,-0.1,0.0,18.0,0.0,0.0,100,8097,85.86,18.3
