z6-15917,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1522,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/6/2023 12:30,353.3,0.000,0,0,337,7.09,15.21,16.8,1.002,85.11,2.1,-0.2,0.0,18.0,15,15,573,0.6,24.0,100,8093,85.06,19.1
12/6/2023 12:45,364.2,0.000,0,0,344,5.44,10.69,17.0,0.999,85.08,2.4,-1.3,0.0,17.5,15,15,483,0.4,12.0,100,8096,85.04,18.5
12/6/2023 13:00,729.9,0.000,0,0,347,5.16,11.87,17.7,0.996,85.06,2.5,-1.2,0.0,18.4,15,5,451,0.0,0.0,100,8103,85.02,19.6
12/6/2023 13:15,660.5,0.000,0,0,349,4.78,8.94,18.1,0.994,85.05,2.4,-1.5,0.0,19.1,12,0,450,0.0,0.0,100,8113,85.00,20.6
12/6/2023 13:30,417.0,0.000,0,0,340,5.99,13.27,17.9,0.995,85.04,1.5,-1.4,0.0,19.0,14,0,452,0.0,0.0,100,8118,85.00,20.4
12/6/2023 13:45,325.6,0.000,0,0,342,6.43,12.80,17.6,0.998,85.02,2.0,-1.9,0.0,18.7,15,14,754,0.0,0.0,100,8124,84.96,19.7
12/6/2023 14:00,271.5,0.051,0,0,338,6.41,13.58,17.1,0.999,85.03,1.8,-1.5,3.1,18.2,15,15,635,0.4,12.0,100,8127,84.98,19.2
12/6/2023 14:15,268.7,0.000,0,0,338,6.14,14.11,17.3,1.000,85.04,2.5,-0.8,0.0,18.0,15,15,693,0.2,12.0,100,8131,85.00,18.9
12/6/2023 14:30,204.1,0.017,0,0,335,7.61,14.33,17.0,0.998,85.06,2.6,-2.1,1.0,17.7,15,15,649,1.4,12.0,100,8133,85.00,18.5
12/6/2023 14:45,171.4,0.170,0,0,338,5.84,11.95,17.1,1.001,85.08,2.3,-1.5,2.0,17.6,15,15,898,2.4,24.0,100,8134,85.02,18.4
12/6/2023 15:00,112.6,0.119,0,0,340,4.88,12.04,17.2,1.001,85.08,2.2,-1.3,2.0,17.6,15,15,886,2.0,12.0,100,8129,85.03,18.2
12/6/2023 15:15,190.8,0.000,0,0,341,5.59,11.82,16.6,0.999,85.05,2.2,-1.0,0.0,17.4,15,15,536,0.6,12.0,100,8132,84.99,18.0
12/6/2023 15:30,128.9,0.000,0,0,340,6.28,17.81,16.2,1.002,85.01,1.8,-1.1,0.0,16.9,15,15,473,0.2,12.0,100,8133,84.97,17.7
12/6/2023 15:45,46.1,0.000,0,0,340,6.06,11.87,16.3,0.998,85.02,1.9,-1.6,0.0,16.6,15,15,526,0.2,12.0,100,8130,84.97,17.3
12/6/2023 16:00,29.3,0.000,0,0,340,6.44,12.85,16.4,0.999,85.04,2.2,-0.7,0.0,16.5,15,15,492,0.0,0.0,100,8128,84.98,17.1
12/6/2023 16:15,26.5,0.000,0,0,344,6.20,14.77,16.5,1.000,85.04,2.7,-2.3,0.0,16.6,15,15,470,0.0,0.0,100,8126,85.00,17.1
12/6/2023 16:30,43.3,0.000,0,0,339,6.43,13.75,16.6,0.998,85.08,2.1,-1.6,0.0,16.6,15,15,556,0.0,0.0,100,8124,85.02,17.1
12/6/2023 16:45,30.9,0.000,0,0,342,6.65,13.02,16.6,1.001,85.10,2.1,-1.8,0.0,16.7,15,15,561,0.2,12.0,100,8121,85.04,17.1
12/6/2023 17:00,13.6,0.068,0,0,343,6.15,12.17,16.6,1.001,85.13,2.2,-0.5,3.1,16.6,15,15,550,1.4,24.0,100,8122,85.07,17.0
12/6/2023 17:15,5.9,0.017,0,0,342,5.30,15.39,16.7,0.995,85.12,2.3,-1.8,1.0,16.6,15,15,661,0.4,12.0,100,8119,85.07,17.0
12/6/2023 17:30,0.8,0.051,0,0,351,5.06,12.02,16.8,0.998,85.14,2.2,-0.7,2.0,16.7,15,15,623,1.2,12.0,100,8118,85.08,17.0
12/6/2023 17:45,0.0,0.017,0,0,350,5.11,10.79,16.4,1.000,85.17,2.3,-1.4,1.0,16.5,15,15,531,0.6,12.0,100,8117,85.13,16.9
12/6/2023 18:00,0.0,0.000,0,0,344,5.29,11.11,16.3,1.000,85.21,1.3,-1.1,0.0,16.4,15,15,612,0.6,12.0,100,8117,85.16,16.8
12/6/2023 18:15,0.0,0.017,0,0,349,4.72,11.21,16.3,0.999,85.22,2.3,-1.2,1.0,16.3,15,15,520,0.6,12.0,100,8114,85.16,16.7
12/6/2023 18:30,0.0,0.000,0,0,343,5.93,11.53,16.0,1.001,85.23,2.3,-0.7,0.0,16.1,15,15,558,0.0,0.0,100,8115,85.17,16.5
12/6/2023 18:45,0.0,0.017,0,0,341,6.18,10.85,15.9,1.000,85.25,2.2,-1.5,1.0,16.0,15,15,507,0.4,12.0,100,8111,85.19,16.4
12/6/2023 19:00,0.0,0.000,0,0,349,5.01,10.69,16.0,0.998,85.28,2.8,-0.9,0.0,16.0,15,15,496,0.0,0.0,100,8112,85.23,16.4
12/6/2023 19:15,0.0,0.000,0,0,352,4.72,9.28,16.0,1.000,85.28,1.9,-1.4,0.0,16.0,15,15,468,0.0,0.0,100,8109,85.24,16.3
12/6/2023 19:30,0.0,0.000,0,0,346,5.59,11.14,16.1,0.997,85.29,2.3,-1.2,0.0,16.0,15,15,474,0.0,0.0,100,8108,85.23,16.3
12/6/2023 19:45,0.0,0.000,0,0,344,5.21,10.55,16.4,0.984,85.32,2.2,-0.7,0.0,16.1,15,15,467,0.0,0.0,100,8107,85.28,16.4
12/6/2023 20:00,0.0,0.000,0,0,352,4.86,11.04,16.5,0.977,85.35,2.3,-1.3,0.0,16.0,15,15,466,0.0,0.0,100,8103,85.30,16.3
12/6/2023 20:15,0.0,0.000,0,0,354,3.72,9.49,16.5,0.972,85.41,2.1,-1.4,0.0,16.0,15,15,467,0.0,0.0,100,8106,85.37,16.3
12/6/2023 20:30,0.0,0.000,0,0,352,4.05,7.84,16.4,0.981,85.42,2.2,-1.3,0.0,16.0,15,10,778,0.0,0.0,100,8103,85.38,16.3
12/6/2023 20:45,0.0,0.034,0,0,342,4.99,10.94,16.4,0.985,85.42,2.2,-1.3,1.0,16.0,15,15,743,0.0,0.0,100,8102,85.37,16.3
12/6/2023 21:00,0.0,0.068,0,0,351,4.87,11.39,16.1,0.994,85.41,1.8,-1.6,1.0,16.0,15,15,520,0.6,12.0,100,8099,85.36,16.2
12/6/2023 21:15,0.0,0.068,0,0,348,4.20,8.62,16.3,0.978,85.45,2.2,-1.5,3.1,15.8,15,15,950,0.0,0.0,100,8100,85.40,16.1
12/6/2023 21:30,0.0,0.391,0,0,352,3.23,8.91,16.0,0.992,85.47,2.2,-1.3,14.3,15.8,15,15,580,1.0,24.0,100,8098,85.42,16.2
12/6/2023 21:45,0.0,0.051,0,0,353,3.65,11.09,16.2,0.985,85.43,1.9,-1.4,1.0,15.9,15,15,530,0.0,0.0,100,8097,85.38,16.2
12/6/2023 22:00,0.0,0.017,0,0,348,3.82,7.99,16.4,0.974,85.43,2.2,-1.2,1.0,15.9,15,15,545,0.0,0.0,100,8099,85.38,16.2
12/6/2023 22:15,0.0,0.051,0,0,1,2.79,6.34,16.3,0.980,85.44,2.1,-1.3,1.0,15.9,15,15,590,0.0,0.0,100,8096,85.39,16.3
12/6/2023 22:30,0.0,0.017,0,0,3,3.12,6.86,16.4,0.981,85.44,2.1,-1.3,1.0,16.0,15,15,506,0.0,0.0,100,8099,85.39,16.2
12/6/2023 22:45,0.0,0.000,0,0,357,3.80,7.20,16.3,0.977,85.43,2.2,-1.4,0.0,15.9,15,15,505,0.0,0.0,100,8095,85.38,16.2
12/6/2023 23:00,0.0,0.000,0,0,350,4.56,9.73,16.2,0.982,85.38,2.2,-1.4,0.0,15.8,15,15,539,0.0,0.0,100,8093,85.34,16.1
12/6/2023 23:15,0.0,0.017,0,0,352,4.56,8.91,16.2,0.979,85.38,2.1,-1.4,1.0,15.7,15,15,498,0.2,12.0,100,8093,85.33,16.0
12/6/2023 23:30,0.0,0.000,0,0,351,4.32,7.43,16.1,0.980,85.37,2.3,-1.3,0.0,15.7,15,15,466,0.0,0.0,100,8090,85.32,15.9
12/6/2023 23:45,0.0,0.000,0,0,354,4.29,7.36,15.9,0.982,85.35,2.1,-1.5,0.0,15.5,15,15,461,0.0,0.0,100,8088,85.30,15.8
12/7/2023 0:00,0.0,0.000,0,0,348,4.72,12.33,16.0,0.972,85.34,1.8,-1.2,0.0,15.4,15,2,458,0.0,0.0,100,8088,85.28,15.7
12/7/2023 0:15,0.0,0.000,0,0,344,4.88,11.38,15.9,0.978,85.32,2.3,-1.0,0.0,15.4,15,0,456,0.0,0.0,100,8058,85.27,15.9
12/7/2023 0:30,0.0,0.000,0,0,347,4.82,9.18,15.8,0.955,85.31,2.3,-1.5,0.0,15.4,15,0,455,0.0,0.0,100,8069,85.26,15.8
12/7/2023 0:45,0.0,0.000,0,0,349,4.38,8.74,15.7,0.977,85.29,2.1,-1.7,0.0,15.3,15,0,454,0.0,0.0,100,8070,85.24,15.7
12/7/2023 1:00,0.0,0.000,0,0,359,4.05,10.02,15.7,0.977,85.28,2.0,-1.5,0.0,15.3,15,0,454,0.0,0.0,100,8067,85.23,15.6
12/7/2023 1:15,0.0,0.000,0,0,352,4.52,11.23,15.7,0.973,85.26,2.6,-1.1,0.0,15.3,15,0,454,0.0,0.0,100,8069,85.22,15.6
12/7/2023 1:30,0.0,0.000,0,0,356,4.37,7.49,15.7,0.976,85.25,2.4,-1.3,0.0,15.3,15,0,454,0.0,0.0,100,8067,85.20,15.5
12/7/2023 1:45,0.0,0.000,0,0,353,4.99,11.70,15.7,0.968,85.23,2.2,-1.6,0.0,15.3,15,0,454,0.0,0.0,100,8066,85.18,15.5
12/7/2023 2:00,0.0,0.000,0,0,352,4.71,8.95,15.5,0.974,85.23,2.1,-1.2,0.0,15.3,15,0,454,0.0,0.0,100,8064,85.18,15.4
12/7/2023 2:15,0.0,0.000,0,0,350,5.31,10.56,15.5,0.972,85.22,2.2,-0.8,0.0,15.2,15,0,454,0.0,0.0,100,8064,85.17,15.4
12/7/2023 2:30,0.0,0.000,0,0,338,5.60,13.47,15.6,0.969,85.21,2.9,-1.5,0.0,15.3,15,0,453,0.0,0.0,100,8062,85.16,15.4
12/7/2023 2:45,0.0,0.000,0,0,346,4.86,10.67,15.8,0.966,85.21,2.1,-1.3,0.0,15.4,15,0,453,0.0,0.0,100,8061,85.15,15.5
12/7/2023 3:00,0.0,0.000,0,0,342,5.33,9.93,15.8,0.969,85.21,2.8,-1.6,0.0,15.5,15,0,453,0.0,0.0,100,8062,85.16,15.6
12/7/2023 3:15,0.0,0.000,0,0,350,4.71,10.03,15.8,0.981,85.23,2.2,-1.4,0.0,15.6,15,2,487,0.0,0.0,100,8063,85.18,15.7
12/7/2023 3:30,0.0,0.000,0,0,344,5.21,10.64,15.8,0.988,85.24,1.7,-1.7,0.0,15.6,15,15,491,0.0,0.0,100,8063,85.18,15.8
12/7/2023 3:45,0.0,0.000,0,0,345,4.81,11.39,15.8,0.989,85.23,2.8,-1.8,0.0,15.6,15,15,497,0.0,0.0,100,8059,85.18,15.8
12/7/2023 4:00,0.0,0.000,0,0,342,5.54,11.31,15.8,0.985,85.24,2.4,-1.9,0.0,15.6,15,15,469,0.0,0.0,100,8060,85.18,15.8
12/7/2023 4:15,0.0,0.000,0,0,347,5.22,17.52,15.7,0.983,85.23,2.2,-1.5,0.0,15.6,15,10,456,0.0,0.0,100,8057,85.19,15.7
12/7/2023 4:30,0.0,0.000,0,0,350,4.41,8.48,15.5,0.982,85.23,2.1,-1.1,0.0,15.4,15,0,454,0.0,0.0,100,8060,85.18,15.6
12/7/2023 4:45,0.0,0.000,0,0,358,3.73,7.83,15.2,0.987,85.23,2.2,-1.4,0.0,15.2,15,0,454,0.0,0.0,100,8058,85.18,15.3
12/7/2023 5:00,0.0,0.000,0,0,354,3.96,9.35,15.1,0.982,85.22,2.4,-1.5,0.0,15.0,15,0,454,0.0,0.0,100,8058,85.17,15.2
12/7/2023 5:15,0.0,0.000,0,0,354,4.64,10.78,15.2,0.975,85.21,2.4,-1.8,0.0,14.9,15,0,453,0.0,0.0,100,8056,85.16,15.1
12/7/2023 5:30,0.0,0.000,0,0,357,4.63,8.12,15.2,0.967,85.22,2.4,-1.6,0.0,15.0,15,0,453,0.0,0.0,100,8053,85.17,15.1
12/7/2023 5:45,0.5,0.000,0,0,355,4.79,9.32,15.3,0.968,85.25,2.2,-1.2,0.0,15.0,15,0,453,0.0,0.0,100,8054,85.20,15.1
12/7/2023 6:00,3.5,0.000,0,0,353,4.91,8.68,15.3,0.968,85.27,2.3,-1.9,0.0,15.1,15,0,453,0.0,0.0,100,8054,85.22,15.1
12/7/2023 6:15,6.7,0.000,0,0,355,4.41,8.60,15.3,0.965,85.29,2.3,-1.0,0.0,15.1,15,0,453,0.0,0.0,100,8055,85.25,15.2
12/7/2023 6:30,9.9,0.000,0,0,358,4.17,10.20,15.3,0.969,85.32,2.3,-1.6,0.0,15.1,15,0,453,0.0,0.0,100,8049,85.28,15.2
12/7/2023 6:45,13.3,0.000,0,0,353,4.17,8.37,15.4,0.964,85.34,2.2,-1.4,0.0,15.2,15,0,452,0.0,0.0,100,8051,85.29,15.2
12/7/2023 7:00,18.1,0.000,0,0,357,3.95,9.81,15.6,0.958,85.35,2.2,-1.1,0.0,15.3,15,0,453,0.0,0.0,100,8049,85.31,15.3
12/7/2023 7:15,25.9,0.000,0,0,357,4.22,7.78,15.8,0.955,85.37,2.1,-1.2,0.0,15.5,15,0,453,0.0,0.0,100,8050,85.32,15.5
12/7/2023 7:30,33.1,0.000,0,0,353,4.55,9.10,16.1,0.954,85.37,2.3,-1.4,0.0,15.8,15,0,452,0.0,0.0,100,8049,85.32,15.7
12/7/2023 7:45,32.3,0.000,0,0,350,4.66,11.12,16.4,0.938,85.38,2.2,-1.6,0.0,16.0,15,0,452,0.0,0.0,100,8049,85.34,16.0
12/7/2023 8:00,31.0,0.000,0,0,353,4.80,10.23,16.5,0.941,85.40,1.9,-1.8,0.0,16.3,15,0,452,0.0,0.0,100,8047,85.35,16.2
12/7/2023 8:15,31.1,0.000,0,0,353,4.83,10.08,16.7,0.938,85.40,2.2,-1.2,0.0,16.5,15,0,452,0.0,0.0,100,8044,85.36,16.4
12/7/2023 8:30,31.5,0.000,0,0,352,5.40,10.80,17.0,0.917,85.40,2.1,-1.5,0.0,16.7,15,0,451,0.0,0.0,100,8042,85.35,16.7
12/7/2023 8:45,110.6,0.000,0,0,355,5.13,9.65,17.2,0.918,85.40,1.9,-1.5,0.0,17.0,15,0,451,0.0,0.0,100,8042,85.36,16.9
12/7/2023 9:00,46.2,0.000,0,0,349,5.24,11.80,17.4,0.915,85.41,2.1,-1.6,0.0,17.4,15,0,450,0.0,0.0,100,8043,85.36,17.3
12/7/2023 9:15,87.5,0.000,0,0,354,4.57,9.18,17.7,0.906,85.40,2.2,-1.5,0.0,17.6,15,0,450,0.0,0.0,100,8041,85.36,17.5
12/7/2023 9:30,398.4,0.000,0,0,353,5.00,10.96,18.0,0.913,85.39,2.4,-1.0,0.0,18.3,10,0,449,0.0,0.0,100,8039,85.36,18.2
12/7/2023 9:45,730.6,0.000,0,0,352,4.63,10.69,18.2,0.957,85.33,2.5,-1.3,0.0,20.4,0,0,448,0.0,0.0,100,8039,85.33,20.3
12/7/2023 10:00,762.4,0.000,0,0,345,5.73,11.61,18.3,0.950,85.30,2.5,-1.5,0.0,21.2,0,0,448,0.0,0.0,100,8041,85.30,21.2
12/7/2023 10:15,788.5,0.000,0,0,352,4.72,9.61,18.7,0.938,85.31,2.2,-1.7,0.0,21.5,0,0,447,0.0,0.0,100,8039,85.29,21.6
12/7/2023 10:30,815.9,0.000,0,0,352,4.64,9.21,19.0,0.919,85.29,2.3,-1.1,0.0,22.0,0,0,447,0.0,0.0,100,8040,85.28,22.2
12/7/2023 10:45,835.9,0.000,0,0,356,4.56,9.11,19.3,0.919,85.30,2.3,-1.6,0.0,22.3,0,0,447,0.0,0.0,100,8039,85.29,22.6
12/7/2023 11:00,848.8,0.000,0,0,1,5.03,9.68,19.4,0.902,85.29,2.5,-1.5,0.0,22.4,0,0,447,0.0,0.0,100,8038,85.27,22.9
12/7/2023 11:15,857.3,0.000,0,0,350,4.66,10.08,19.4,0.887,85.28,3.0,-1.4,0.0,22.5,0,0,446,0.0,0.0,100,8039,85.26,23.2
12/7/2023 11:30,856.0,0.000,0,0,354,4.64,11.32,19.9,0.846,85.27,2.4,-0.8,0.0,22.5,0,0,446,0.0,0.0,100,8043,85.25,23.3
12/7/2023 11:45,849.9,0.000,0,0,353,4.75,8.88,19.8,0.854,85.25,2.2,-1.2,0.0,22.7,0,0,446,0.0,0.0,100,8044,85.22,23.6
12/7/2023 12:00,838.5,0.000,0,0,352,4.69,9.55,19.9,0.851,85.24,2.7,-1.1,0.0,22.6,0,0,446,0.0,0.0,100,8045,85.20,23.6
12/7/2023 12:15,825.4,0.000,0,0,342,5.14,10.57,19.6,0.859,85.19,2.6,-2.0,0.0,22.5,0,0,446,0.0,0.0,100,8047,85.16,23.5
12/7/2023 12:30,805.4,0.000,0,0,342,5.36,10.85,19.5,0.868,85.15,2.6,-0.8,0.0,22.3,0,0,446,0.0,0.0,100,8051,85.11,23.5
12/7/2023 12:45,789.5,0.000,0,0,343,4.92,8.99,19.6,0.857,85.12,2.2,-0.9,0.0,22.1,0,0,446,0.0,0.0,100,8054,85.08,23.3
12/7/2023 13:00,759.9,0.000,0,0,343,5.45,13.88,19.5,0.867,85.10,2.5,-1.2,0.0,22.0,0,0,446,0.0,0.0,100,8060,85.06,23.4
12/7/2023 13:15,757.3,0.000,0,0,344,4.37,9.52,19.7,0.868,85.12,2.1,-1.3,0.0,22.1,0,0,446,0.0,0.0,100,8069,85.08,23.5
12/7/2023 13:30,338.9,0.000,0,0,344,3.73,9.39,19.4,0.915,85.13,2.4,-1.0,0.0,21.8,0,0,448,0.0,0.0,100,8070,85.07,23.0
12/7/2023 13:45,317.1,0.000,0,0,341,3.47,7.27,19.1,0.916,85.13,2.2,-1.3,0.0,20.9,0,0,448,0.0,0.0,100,8076,85.08,21.9
12/7/2023 14:00,249.7,0.000,0,0,350,2.92,9.51,19.0,0.935,85.12,2.3,-1.4,0.0,20.7,0,0,448,0.0,0.0,100,8077,85.07,21.7
12/7/2023 14:15,247.5,0.000,0,0,353,3.43,7.00,18.8,0.949,85.11,2.3,-1.3,0.0,20.3,0,0,448,0.0,0.0,100,8080,85.05,21.2
12/7/2023 14:30,276.9,0.000,0,0,347,3.62,9.01,18.4,0.944,85.09,2.4,-1.4,0.0,19.9,0,0,448,0.0,0.0,100,8085,85.04,20.9
12/7/2023 14:45,374.3,0.000,0,0,346,3.56,6.90,18.5,0.944,85.07,2.5,-1.6,0.0,20.0,0,0,448,0.0,0.0,100,8093,85.01,20.9
12/7/2023 15:00,344.3,0.000,0,0,352,3.84,9.70,18.3,0.953,85.06,1.9,-1.2,0.0,19.9,0,0,448,0.0,0.0,100,8096,85.00,20.8
12/7/2023 15:15,350.9,0.000,0,0,345,4.06,9.40,18.0,0.958,85.05,2.2,-2.3,0.0,19.9,0,0,448,0.0,0.0,100,8102,84.99,20.9
12/7/2023 15:30,37.6,0.000,0,0,343,4.50,11.29,18.1,0.913,85.07,2.3,-1.5,0.0,19.2,0,0,449,0.0,0.0,100,8099,85.01,20.0
12/7/2023 15:45,31.5,0.000,0,0,349,4.07,8.96,17.9,0.910,85.08,2.0,-1.0,0.0,18.4,0,0,450,0.0,0.0,100,8096,85.02,19.0
12/7/2023 16:00,25.7,0.000,0,0,352,4.14,9.69,17.7,0.917,85.08,2.2,-1.6,0.0,17.9,0,0,450,0.0,0.0,100,8094,85.02,18.5
12/7/2023 16:15,22.7,0.000,0,0,348,4.19,9.69,17.6,0.918,85.08,2.0,-1.2,0.0,17.6,5,0,450,0.0,0.0,100,8093,85.02,18.1
12/7/2023 16:30,24.5,0.000,0,0,347,3.90,9.30,17.6,0.923,85.09,2.2,-1.0,0.0,17.5,12,0,450,0.0,0.0,100,8089,85.04,17.9
12/7/2023 16:45,24.8,0.000,0,0,347,3.29,9.81,17.4,0.936,85.10,2.3,-1.4,0.0,17.4,15,0,450,0.2,12.0,100,8090,85.04,17.7
12/7/2023 17:00,15.4,0.000,0,0,354,3.43,6.53,17.3,0.942,85.13,2.2,-1.3,0.0,17.3,15,0,451,0.0,0.0,100,8085,85.07,17.6
12/7/2023 17:15,5.3,0.000,0,0,354,2.55,6.66,17.0,0.950,85.15,2.1,-1.4,0.0,17.1,15,0,451,0.0,0.0,100,8086,85.10,17.3
12/7/2023 17:30,1.3,0.000,0,0,348,3.21,8.31,17.0,0.947,85.15,2.1,-1.2,0.0,16.9,15,0,451,0.0,0.0,100,8086,85.10,17.0
12/7/2023 17:45,0.0,0.000,0,0,351,3.58,10.14,16.9,0.953,85.14,2.2,-1.4,0.0,16.7,15,0,451,0.0,0.0,100,8083,85.09,16.9
12/7/2023 18:00,0.0,0.000,0,0,342,3.75,9.40,16.9,0.948,85.15,2.2,-1.1,0.0,16.7,15,0,451,0.0,0.0,100,8085,85.10,16.8
12/7/2023 18:15,0.0,0.000,0,0,350,3.74,8.69,17.0,0.942,85.17,2.3,-1.2,0.0,16.7,15,0,451,0.0,0.0,100,8085,85.12,16.8
12/7/2023 18:30,0.0,0.000,0,0,349,3.67,10.39,16.9,0.949,85.18,2.0,-1.1,0.0,16.7,15,0,451,0.0,0.0,100,8081,85.13,16.8
12/7/2023 18:45,0.0,0.000,0,0,351,3.88,10.21,16.7,0.949,85.18,2.3,-1.4,0.0,16.6,15,0,451,0.0,0.0,100,8079,85.13,16.6
12/7/2023 19:00,0.0,0.000,0,0,356,4.44,8.91,16.4,0.948,85.16,2.0,-1.2,0.0,16.4,15,0,451,0.0,0.0,100,8080,85.10,16.4
12/7/2023 19:15,0.0,0.000,0,0,353,4.31,12.21,16.4,0.946,85.17,2.4,-1.5,0.0,16.2,15,0,451,0.0,0.0,100,8078,85.12,16.3
12/7/2023 19:30,0.0,0.000,0,0,348,4.39,10.12,16.4,0.939,85.18,2.2,-1.4,0.0,16.2,15,0,451,0.0,0.0,100,8074,85.13,16.2
12/7/2023 19:45,0.0,0.000,0,0,352,4.15,9.59,16.2,0.937,85.18,2.0,-1.5,0.0,16.1,15,0,451,0.0,0.0,100,8077,85.13,16.1
12/7/2023 20:00,0.0,0.000,0,0,349,4.61,8.39,16.0,0.922,85.20,1.8,-1.3,0.0,15.9,15,0,450,0.0,0.0,100,8074,85.15,15.9
12/7/2023 20:15,0.0,0.000,0,0,351,4.77,10.13,16.0,0.910,85.21,1.9,-0.9,0.0,15.8,15,0,450,0.0,0.0,100,8074,85.16,15.8
12/7/2023 20:30,0.0,0.000,0,0,349,5.08,10.01,16.0,0.910,85.21,1.8,-0.7,0.0,15.8,15,0,450,0.0,0.0,100,8074,85.16,15.8
12/7/2023 20:45,0.0,0.000,0,0,353,4.96,9.62,15.9,0.914,85.22,1.5,-1.6,0.0,15.7,15,0,450,0.0,0.0,100,8072,85.17,15.7
12/7/2023 21:00,0.0,0.000,0,0,351,5.03,10.98,16.0,0.905,85.21,2.0,-1.6,0.0,15.7,15,0,450,0.0,0.0,100,8070,85.15,15.7
12/7/2023 21:15,0.0,0.000,0,0,350,5.01,12.99,16.1,0.920,85.19,2.4,-2.4,0.0,15.8,15,0,450,0.0,0.0,100,8068,85.14,15.7
12/7/2023 21:30,0.0,0.000,0,0,350,4.85,9.12,16.1,0.925,85.20,1.8,-1.5,0.0,15.8,15,0,451,0.0,0.0,100,8070,85.15,15.7
12/7/2023 21:45,0.0,0.000,0,0,350,4.59,9.98,16.0,0.936,85.21,1.9,-1.6,0.0,15.8,15,0,451,0.0,0.0,100,8067,85.16,15.7
12/7/2023 22:00,0.0,0.000,0,0,349,4.53,9.46,16.0,0.942,85.20,2.5,-1.1,0.0,15.8,15,0,451,0.0,0.0,100,8067,85.15,15.7
12/7/2023 22:15,0.0,0.000,0,0,347,5.15,9.62,16.0,0.939,85.18,1.9,-1.3,0.0,15.7,15,0,451,0.0,0.0,100,8067,85.12,15.7
12/7/2023 22:30,0.0,0.000,0,0,350,5.39,12.43,16.0,0.928,85.17,1.9,-1.5,0.0,15.7,15,0,451,0.0,0.0,100,8067,85.11,15.7
12/7/2023 22:45,0.0,0.000,0,0,351,5.69,13.02,16.1,0.927,85.15,2.4,-1.3,0.0,15.8,15,0,451,0.0,0.0,100,8061,85.09,15.7
12/7/2023 23:00,0.0,0.000,0,0,343,6.14,12.06,16.1,0.918,85.13,2.0,-1.1,0.0,15.8,15,0,450,0.0,0.0,100,8061,85.07,15.8
12/7/2023 23:15,0.0,0.000,0,0,353,5.45,11.23,16.0,0.902,85.12,1.8,-0.9,0.0,15.8,14,0,450,0.0,0.0,100,8060,85.07,15.7
12/7/2023 23:30,0.0,0.000,0,0,350,5.99,10.82,16.2,0.858,85.12,1.8,-0.5,0.0,15.8,1,0,449,0.0,0.0,100,8061,85.07,15.8
12/7/2023 23:45,0.0,0.000,0,0,348,5.83,12.81,16.2,0.836,85.11,1.9,-1.7,0.0,15.9,0,0,449,0.0,0.0,100,8061,85.05,15.8
12/8/2023 0:00,0.0,0.000,0,0,353,5.80,11.46,15.9,0.860,85.09,2.5,-1.7,0.0,15.8,0,0,449,0.0,0.0,100,8061,85.04,15.8
12/8/2023 0:15,0.0,0.000,0,0,350,5.72,11.61,15.9,0.871,85.09,2.2,-1.4,0.0,15.7,0,0,450,0.0,0.0,100,8052,85.03,15.8
12/8/2023 0:30,0.0,0.000,0,0,354,5.15,9.61,15.6,0.881,85.08,2.1,-1.5,0.0,15.6,3,0,450,0.0,0.0,100,8052,85.02,15.6
12/8/2023 0:45,0.0,0.000,0,0,357,5.20,10.18,15.4,0.904,85.06,2.0,-1.3,0.0,15.3,7,0,450,0.0,0.0,100,8053,85.01,15.4
12/8/2023 1:00,0.0,0.000,0,0,358,5.15,10.62,15.3,0.902,85.06,1.9,-1.8,0.0,15.2,9,0,449,0.0,0.0,100,8051,85.00,15.3
12/8/2023 1:15,0.0,0.000,0,0,350,5.65,11.74,15.3,0.896,85.04,2.1,-1.7,0.0,15.1,5,0,450,0.0,0.0,100,8048,84.99,15.2
12/8/2023 1:30,0.0,0.000,0,0,350,5.82,12.36,15.1,0.917,85.03,2.0,-1.9,0.0,15.0,15,0,450,0.0,0.0,100,8050,84.97,15.1
12/8/2023 1:45,0.0,0.000,0,0,354,5.86,10.73,15.2,0.900,85.01,2.2,-1.6,0.0,14.9,10,0,450,0.0,0.0,100,8048,84.95,15.0
12/8/2023 2:00,0.0,0.000,0,0,353,6.16,15.84,15.2,0.906,84.98,3.0,-0.7,0.0,15.0,10,0,450,0.0,0.0,100,8048,84.93,15.1
